date,EUR,GBP,USD
2024-12-20,6.3479,7.6508,6.0861
2024-12-19,6.3773,7.6896,6.1531
2024-12-18,6.5105,7.9049,6.2904
2024-12-17,6.4068,7.7593,6.1047
2024-12-16,6.4666,7.8033,6.1488
2024-12-15,6.3503,7.6299,6.0424
2024-12-14,6.3474,7.6276,6.0424
2024-12-13,6.3474,7.6237,6.0424
2024-12-12,6.2816,7.6029,5.9976
2024-12-11,6.2565,7.6018,5.955
2024-12-10,6.3681,7.7275,6.0468
2024-12-09,6.4154,7.7488,6.0781
2024-12-08,6.434,7.7636,6.0898
2024-12-07,6.4405,7.7601,6.0898
2024-12-06,6.4405,7.7601,6.0898
2024-12-05,6.3637,7.6707,6.0118
2024-12-04,6.3499,7.6714,6.0403
2024-12-03,6.353,7.6608,6.0446
2024-12-02,6.3616,7.6694,6.0583
2024-12-01,6.2995,7.5878,5.9744
2024-11-30,6.3204,7.6093,5.9744
2024-11-29,6.3204,7.6065,5.9744
2024-11-28,6.3531,7.6367,6.0154
2024-11-27,6.2729,7.5287,5.9389
2024-11-26,6.0963,7.3064,5.8111
2024-11-25,6.0683,7.2758,5.8003
